skill,min,max,mean,stdev,plage,coef,proba,nb annonces
gitlab,20400,90000,42874,11655,69600,0.6863905325443787,0.007216767537237639,102
oracle,26000,80000,43305,10575,54000,0.5325443786982249,0.005599216192684375,98
jira,20640,84000,43336,12834,63360,0.6248520710059171,0.006569746999416334,90
mongodb,25000,75000,45831,11275,50000,0.4930966469428008,0.005184459437670718,84
bootstrap,20760,75000,40943,10174,54240,0.5349112426035503,0.0056241015979851955,82
hibernate,25000,84000,42837,9011,59000,0.5818540433925049,0.006117662136451447,82
github,24000,80000,45731,12680,56000,0.5522682445759369,0.005806594570191204,80
spark,20400,90000,51829,14183,69600,0.6863905325443787,0.007216767537237639,80
typescript,22800,80000,43299,9431,57200,0.5641025641025641,0.005931021596695302,79
bdd,25000,84000,48202,12805,59000,0.5818540433925049,0.006117662136451447,74
angularjs,25000,70000,42691,8837,45000,0.4437869822485207,0.004666013493903646,73
analytics,29000,100000,49462,13992,71000,0.7001972386587771,0.007361932401492419,71
vuejs,24000,96000,44750,13961,72000,0.7100591715976331,0.007465621590245834,71
etl,20160,96000,48488,14522,75840,0.7479289940828402,0.007863788075058945,69
scala,28000,90000,51932,13282,62000,0.611439842209073,0.00642872970271169,69
wordpress,20760,80000,36114,11117,59240,0.5842209072978304,0.006142547541752265,63
kanban,22080,80000,47811,13143,57920,0.5712031558185404,0.006005677812597759,63
nosql,25000,84000,45368,12311,59000,0.5818540433925049,0.006117662136451447,63
hadoop,20400,84000,48693,13117,63600,0.6272189349112426,0.0065946324047171535,62
jee,25000,79200,40353,10489,54200,0.534516765285996,0.005619954030435058,61
webservices,20640,80000,42061,10661,59360,0.5854043392504931,0.006154990244402676,58
laravel,26000,62000,42255,8724,36000,0.3550295857988165,0.003732810795122917,53
ia,30000,90000,48858,12526,60000,0.591715976331361,0.006221351325204861,50
graphql,21600,84000,49459,15245,62400,0.6153846153846154,0.006470205378213056,48
ajax,20640,65000,37696,10385,44360,0.4374753451676529,0.004599652413101461,46
redux,22800,60000,45745,8707,37200,0.3668639053254438,0.003857237821627014,45
responsive,21408,65000,39011,8774,43592,0.42990138067061145,0.004520019116138838,44
json,20640,55000,40066,9646,34360,0.3388560157790927,0.003562760525567317,43
sap,22080,100800,47141,16656,78720,0.7763313609467456,0.008162412938668777,43
swift,21600,132000,50579,22737,110400,1.0887573964497042,0.011447286438376943,42
programming,22080,70560,47349,11759,48480,0.4781065088757396,0.005026851870765528,41
roadmap,25000,120000,55209,19156,95000,0.9368836291913216,0.009850472931574364,41
drupal,21120,70000,39512,10151,48880,0.4820512820512821,0.005068327546266894,41
kotlin,26400,132000,47362,17118,105600,1.0414201183431953,0.010949578332360555,39
blockchain,25000,70000,44441,10083,45000,0.4437869822485207,0.004666013493903646,37
uml,25320,80000,41101,10751,54680,0.5392504930966471,0.005669724841036697,33
btob,24000,120000,51365,21298,96000,0.9467455621301776,0.009954162120327778,32
debian,24000,55000,39545,7810,31000,0.3057199211045365,0.003214364851355845,30
django,30000,70000,44711,8587,40000,0.3944773175542407,0.004147567550136574,30
scripting,21000,96000,47628,17669,75000,0.7396449704142012,0.007776689156506076,30
lamp,24000,50000,38062,5650,26000,0.2564102564102564,0.002695918907588773,29
poo,25000,65000,37628,8424,40000,0.3944773175542407,0.004147567550136574,28
sass,22800,60000,39396,8681,37200,0.3668639053254438,0.003857237821627014,28
windev,27000,50000,37148,6577,23000,0.2268244575936884,0.00238485134132853,28
vb,26000,55000,37280,6889,29000,0.2859960552268245,0.003006986473849016,27
nginx,28000,60000,40633,9015,32000,0.3155818540433925,0.003318054040109259,27
statistique,24000,90000,45030,14558,66000,0.650887573964497,0.0068434864577253465,26
versionning,30000,60000,41978,7499,30000,0.2958579881656805,0.0031106756626024306,26
prestashop,22000,50000,34157,8035,28000,0.2761341222879685,0.002903297285095602,25
tfs,23000,84000,47729,16493,61000,0.6015779092702169,0.006325040513958276,25
sgbd,30000,63000,42866,8078,33000,0.3254437869822485,0.0034217432288626733,25
nlp,35000,90000,58476,18597,55000,0.5424063116370809,0.00570290538143779,24
slack,30000,84000,44447,12109,54000,0.5325443786982249,0.005599216192684375,24
versioning,21408,65000,40452,9201,43592,0.42990138067061145,0.004520019116138838,24
photoshop,20640,65000,36418,11948,44360,0.4374753451676529,0.004599652413101461,23
bigdata,25000,77467,48068,13808,52467,0.5174260355029586,0.00544026066632539,22
sourcing,28000,90000,45388,14104,62000,0.611439842209073,0.00642872970271169,22
powerpoint,28000,65000,41666,9276,37000,0.36489151873767256,0.0038364999838763313,22
bash,24000,70000,46382,13604,46000,0.4536489151873767,0.00476970268265706,21
